complaint, summary
"The contact owns a 2002 Ford Explorer Sport Trac. The contact stated that after parking the vehicle the following day it was discovered that the cruise control switch located on the steering wheel had overheated and melted. The cause of the failure was not yet determined. The manufacturer was notified of the failure and the contact was informed that the VIN was not included in NHTSA Campaign Number: 09V399000 (Vehicle Speed Control). The contact stated that the vehicle had experienced the failure listed in the recall. The local dealer was not contacted. The failure mileage was 120000.","Cruise control switch on steering wheel overheated and melted, cause not determined, manufacturer notified, not included in recall."
"The contact owns a 2002 Ford Explorer. The contact stated that the steering wheel intermittently seized while driving at various speeds without warning. After finding a replacement part at a salvage yard the contact had the steering wheel replaced by an independent mechanic; however the failure persisted. The contact also stated that an abnormal ticking noise was coming from the engine with the ABS warning light illuminated. The vehicle was taken back to the same independent mechanic and the contact was informed that the engine needed to be replaced. Neither the dealer nor the manufacturer was notified of the failure. The vehicle was not repaired. The failure mileage was unknown.","Steering wheel intermittently seizes while driving, replaced part persists, abnormal ticking noise from engine with ABS warning light illuminated, engine needs replacement, dealer and manufacturer not notified."
"The contact owns a 2002 Ford Explorer. The contact stated that while driving 55 MPH the hood latch independently released causing the hood to strike the windshield. The contact was able to get to the side of the roadway and closed the hood. The contact had not taken the vehicle to a dealer. The vehicle had not been diagnosed or repaired. The manufacturer was made aware of the failure. The approximate failure mileage was 137000.","Hood latch released at 55 MPH causing hood to strike windshield, vehicle not taken to dealer, manufacturer made aware."
"Overdrive light flashes after driving a little bit hard shifting doesn't shift into overdrive 4x4 lights indicate that it's working when the buttons are pushed but doesn't go into 4x4","Overdrive light flashes, hard shifting, 4x4 lights indicate working but doesn't engage."
"The contact owns a 2002 Ford Explorer. The contact stated while entering the highway at approximately 45 MPH and accelerating to overtake the next vehicle the accelerator pedal went to the floorboard however the vehicle did not respond. The contact was able to pull over safely off the highway. There were no warning lights on the instrument panel. The contact stated that the failure was related to NHTSA Campaign Number: 00V422000 (Vehicle Speed Control). The vehicle was not diagnosed or repaired. The manufacturer was notified of the failure but did not assist. The approximate failure mileage was 115000.","Accelerator pedal goes to floorboard at 45 MPH, no response, no warning lights, related to NHTSA recall, manufacturer notified but did not assist."
"The light form air bad juts got on when I was driving","Airbag light came on while driving."
"I WAS ON MOTION WHEN THE AIR BAG LIGHT TURN ON BUT I WENT TO CHECK AND THEY SAY I HAVE TO TAKE TO THE DEALER TO REPAIR","Airbag light turned on while in motion, dealer repair needed."
" THE CONTACT OWNS A 2002 FORD EXPLORER. THE CONTACT STATED WHILE DRIVING AT VARIOUS SPEEDS THE TRANSMISSION EXPERIENCED HARD SHIFTING WITH A CLUNKING NOISE PRESENT COMING FROM THE TRANSMISSION. THE VEHICLE WAS TAKEN TO AN INDEPENDENT MECHANIC WHO DIAGNOSED THAT THE TRANSMISSION GEAR RATIO WAS FAULTY. THE VEHICLE WAS NOT REPAIRED. THE LOCAL DEALER JACOB GEORGE FORD LOCATED AT 125 SPRING ST HOUTZDALE PA 16651 AND THE MANUFACTURER WERE NOTIFIED OF THE FAILURE. THE FAILURE MILEAGE WAS 100000.","Transmission experiences hard shifting with clunking noise, diagnosed as faulty transmission gear ratio, not repaired, dealer and manufacturer notified."
" THE CONTACT STATED THE WHEN DRIVING A 2002 FORD EXPLORER AT APPROXIMATELY 20 MPH EQUIPPED WITH COOPER TIRE TIRE LINE SOLARIS AS TIRE SIZE 225-70-R16 DOT INFORMATION WAS NOT AVAILABLE. THE FRONT PASSENGER TIRE WALL BLEW AND THE TIRE SEPARATED FROM THE RIM. THE VEHICLE WAS TOWED TO A MECHANIC. THE VEHICLE VIN MILEAGE INFORMATION WAS NOT AVAILABLE. THE VEHICLE WAS NOT REPAIRED. THE MANUFACTURER WAS NOT CONTACTED.","Front passenger tire wall blew, tire separated from rim, vehicle towed to mechanic, manufacturer not contacted."
"THE ISSUES THAT I'M HAVING IS THE EXHILARATION (PICKING UP SPEED) ON A PUBLIC STREET AS WELL AS IN THE EXPRESSWAY IT HESITATES TO DO SO. WHEN THE VEHICLE IS PARKED AND I GO TO SWITCH GEARS IT DOES NOT WANT TO SWITCH. THE GAUGE INDICATOR COMES ON AND THE GAS IDLE BE STUCK ON EMPTY WHEN IT HAS A FULL TANK OF GAS. WHILE THE VEHICLE IS IN MOTION THE RADIO VOLUME GOES UP AND DOWN ON ITS OWN. AND THE VEHICLE DID NOT WANT TO START FOR ME ONE DAY THE VERY NEXT DAY IT STARTED RIGHT ON UP (LIKE IT WANT TO START BUT DIDN'T CATCH). ALL OF THIS STARTED HAPPENING AT THE BEGINNING OF OCTOBER 2020","Acceleration hesitates, gear shifting issue, gas gauge indicates empty with full tank, radio volume fluctuates, intermittent starting issue."
